Factor: x² - 4,(x - 2)(x + 2)
Factor: x² - 9,(x - 3)(x + 3)
Factor: x² - 16,(x - 4)(x + 4)
Factor: x² - 25,(x - 5)(x + 5)
Factor: x² - 36,(x - 6)(x + 6)
Factor: x² - 49,(x - 7)(x + 7)
Factor: x² - 64,(x - 8)(x + 8)
Factor: x² - 81,(x - 9)(x + 9)
Factor: x² - 100,(x - 10)(x + 10)
Factor: x² - 1,(x - 1)(x + 1)
Factor: x² - 121,(x - 11)(x + 11)
Factor: x² - 144,(x - 12)(x + 12)
Factor: 4x² - 9,(2x - 3)(2x + 3)
Factor: 9x² - 16,(3x - 4)(3x + 4)
Factor: 4x² - 25,(2x - 5)(2x + 5)
Factor: 9x² - 1,(3x - 1)(3x + 1)
Factor: 16x² - 9,(4x - 3)(4x + 3)
Factor: 25x² - 4,(5x - 2)(5x + 2)
Factor: 4x² - 1,(2x - 1)(2x + 1)
Factor: 9x² - 4,(3x - 2)(3x + 2)
Factor: 16x² - 1,(4x - 1)(4x + 1)
Factor: 25x² - 9,(5x - 3)(5x + 3)
Factor: 36x² - 1,(6x - 1)(6x + 1)
Factor: 4x² - 49,(2x - 7)(2x + 7)
Factor: 9x² - 25,(3x - 5)(3x + 5)
Factor: 16x² - 25,(4x - 5)(4x + 5)
Factor: 25x² - 16,(5x - 4)(5x + 4)
Factor: 36x² - 25,(6x - 5)(6x + 5)
Factor: 49x² - 4,(7x - 2)(7x + 2)
Factor: 49x² - 9,(7x - 3)(7x + 3)
Factor: x² - 169,(x - 13)(x + 13)
Factor: x² - 196,(x - 14)(x + 14)
Factor: x² - 225,(x - 15)(x + 15)
Factor: 4x² - 81,(2x - 9)(2x + 9)
Factor: 9x² - 49,(3x - 7)(3x + 7)
Factor: 16x² - 49,(4x - 7)(4x + 7)
Factor: 25x² - 1,(5x - 1)(5x + 1)
Factor: 36x² - 49,(6x - 7)(6x + 7)
Factor: 49x² - 1,(7x - 1)(7x + 1)
Factor: 64x² - 9,(8x - 3)(8x + 3)
Factor: 64x² - 1,(8x - 1)(8x + 1)
Factor: 100x² - 9,(10x - 3)(10x + 3)
Factor: 4x² - 36,(2x - 6)(2x + 6)
Factor: 9x² - 64,(3x - 8)(3x + 8)
Factor: 25x² - 36,(5x - 6)(5x + 6)
Factor: 49x² - 16,(7x - 4)(7x + 4)
Factor: 64x² - 25,(8x - 5)(8x + 5)
Factor: 81x² - 4,(9x - 2)(9x + 2)
Factor: 81x² - 1,(9x - 1)(9x + 1)
Factor: 100x² - 1,(10x - 1)(10x + 1)
Factor by grouping: x² + 3x + 2x + 6,(x + 2)(x + 3)
Factor by grouping: x² + 5x + 2x + 10,(x + 2)(x + 5)
Factor by grouping: x² + 4x + 3x + 12,(x + 3)(x + 4)
Factor by grouping: x² + 6x + 2x + 12,(x + 2)(x + 6)
Factor by grouping: x² + 7x + 3x + 21,(x + 3)(x + 7)
Factor by grouping: x² + 5x + 4x + 20,(x + 4)(x + 5)
Factor by grouping: x² + 6x + 5x + 30,(x + 5)(x + 6)
Factor by grouping: x² + 3x + x + 3,(x + 1)(x + 3)
Factor by grouping: x² + 4x + x + 4,(x + 1)(x + 4)
Factor by grouping: x² + 5x + x + 5,(x + 1)(x + 5)
Factor by grouping: 2x² + 6x + x + 3,(2x + 1)(x + 3)
Factor by grouping: 3x² + 6x + x + 2,(3x + 1)(x + 2)
Factor by grouping: 2x² + 4x + 3x + 6,(2x + 3)(x + 2)
Factor by grouping: 2x² + 10x + 3x + 15,(2x + 3)(x + 5)
Factor by grouping: 3x² + 9x + 2x + 6,(3x + 2)(x + 3)
Factor by grouping: 2x² + 8x + x + 4,(2x + 1)(x + 4)
Factor by grouping: 3x² + 3x + 2x + 2,(3x + 2)(x + 1)
Factor by grouping: 5x² + 10x + x + 2,(5x + 1)(x + 2)
Factor by grouping: 2x² + 2x + 3x + 3,(2x + 3)(x + 1)
Factor by grouping: 4x² + 8x + x + 2,(4x + 1)(x + 2)
Factor by grouping: 3x² + 12x + 2x + 8,(3x + 2)(x + 4)
Factor by grouping: 2x² + 6x + 5x + 15,(2x + 5)(x + 3)
Factor by grouping: 5x² + 15x + 2x + 6,(5x + 2)(x + 3)
Factor by grouping: 3x² + 15x + x + 5,(3x + 1)(x + 5)
Factor by grouping: 4x² + 12x + x + 3,(4x + 1)(x + 3)
Factor by grouping: 2x² + 14x + x + 7,(2x + 1)(x + 7)
Factor by grouping: 3x² + 6x + 4x + 8,(3x + 4)(x + 2)
Factor by grouping: 5x² + 5x + 3x + 3,(5x + 3)(x + 1)
Factor by grouping: 4x² + 4x + 3x + 3,(4x + 3)(x + 1)
Factor by grouping: 2x² + 12x + x + 6,(2x + 1)(x + 6)
Factor by grouping: 6x² + 12x + x + 2,(6x + 1)(x + 2)
Factor by grouping: 3x² + 21x + 2x + 14,(3x + 2)(x + 7)
Factor by grouping: 4x² + 20x + x + 5,(4x + 1)(x + 5)
Factor by grouping: 2x² + 4x + 5x + 10,(2x + 5)(x + 2)
Factor by grouping: 5x² + 20x + x + 4,(5x + 1)(x + 4)
Factor by grouping: 3x² + 9x + 4x + 12,(3x + 4)(x + 3)
Factor by grouping: 6x² + 6x + x + 1,(6x + 1)(x + 1)
Factor by grouping: 4x² + 16x + 3x + 12,(4x + 3)(x + 4)
Factor by grouping: 2x² + 16x + 3x + 24,(2x + 3)(x + 8)
Factor by grouping: 7x² + 7x + 2x + 2,(7x + 2)(x + 1)
Factor by grouping: 5x² + 25x + 2x + 10,(5x + 2)(x + 5)
Factor by grouping: 3x² + 18x + x + 6,(3x + 1)(x + 6)
Factor by grouping: 4x² + 8x + 3x + 6,(4x + 3)(x + 2)
Factor by grouping: 6x² + 18x + x + 3,(6x + 1)(x + 3)
Factor by grouping: 2x² + 10x + x + 5,(2x + 1)(x + 5)
Factor by grouping: 7x² + 14x + x + 2,(7x + 1)(x + 2)
Factor by grouping: 5x² + 10x + 3x + 6,(5x + 3)(x + 2)
Factor by grouping: 3x² + 3x + 5x + 5,(3x + 5)(x + 1)
Factor by grouping: 4x² + 20x + 3x + 15,(4x + 3)(x + 5)