Factor: 4x² - 100,(2x - 10)(2x + 10)
Factor: 9x² - 121,(3x - 11)(3x + 11)
Factor: 16x² - 81,(4x - 9)(4x + 9)
Factor: 25x² - 64,(5x - 8)(5x + 8)
Factor: 36x² - 121,(6x - 11)(6x + 11)
Factor: 49x² - 36,(7x - 6)(7x + 6)
Factor: 64x² - 49,(8x - 7)(8x + 7)
Factor: 81x² - 16,(9x - 4)(9x + 4)
Factor: 100x² - 49,(10x - 7)(10x + 7)
Factor: 121x² - 4,(11x - 2)(11x + 2)
Factor: 144x² - 25,(12x - 5)(12x + 5)
Factor: 121x² - 9,(11x - 3)(11x + 3)
Factor: x⁴ - 16,(x² - 4)(x² + 4)
Factor: x⁴ - 81,(x² - 9)(x² + 9)
Factor: x⁴ - 1,(x² - 1)(x² + 1)
Factor: x⁴ - 25,(x² - 5)(x² + 5)
Factor: 4x⁴ - 9,(2x² - 3)(2x² + 3)
Factor: 9x⁴ - 16,(3x² - 4)(3x² + 4)
Factor: 16x⁴ - 1,(4x² - 1)(4x² + 1)
Factor: 25x⁴ - 4,(5x² - 2)(5x² + 2)
Factor: x²y² - 9,(xy - 3)(xy + 3)
Factor: x²y² - 25,(xy - 5)(xy + 5)
Factor: 4x²y² - 1,(2xy - 1)(2xy + 1)
Factor: 9x²y² - 4,(3xy - 2)(3xy + 2)
Factor: x²y² - 49,(xy - 7)(xy + 7)
Factor: 4x²y² - 9,(2xy - 3)(2xy + 3)
Factor: 16x²y² - 25,(4xy - 5)(4xy + 5)
Factor: 25x²y² - 36,(5xy - 6)(5xy + 6)
Factor: 9x²y² - 16,(3xy - 4)(3xy + 4)
Factor: 36x²y² - 1,(6xy - 1)(6xy + 1)
Factor: 49x² - 64,(7x - 8)(7x + 8)
Factor: 64x² - 81,(8x - 9)(8x + 9)
Factor: 81x² - 100,(9x - 10)(9x + 10)
Factor: 100x² - 81,(10x - 9)(10x + 9)
Factor: 121x² - 36,(11x - 6)(11x + 6)
Factor: 144x² - 1,(12x - 1)(12x + 1)
Factor: 4x⁴ - 25,(2x² - 5)(2x² + 5)
Factor: 9x⁴ - 1,(3x² - 1)(3x² + 1)
Factor: 49x⁴ - 4,(7x² - 2)(7x² + 2)
Factor: 36x⁴ - 25,(6x² - 5)(6x² + 5)
Factor: 16x²y² - 9,(4xy - 3)(4xy + 3)
Factor: 25x²y² - 1,(5xy - 1)(5xy + 1)
Factor: 49x²y² - 16,(7xy - 4)(7xy + 4)
Factor: 64x²y² - 9,(8xy - 3)(8xy + 3)
Factor: 81x²y² - 49,(9xy - 7)(9xy + 7)
Factor: 100x²y² - 9,(10xy - 3)(10xy + 3)
Factor: 144x² - 49,(12x - 7)(12x + 7)
Factor: 121x² - 100,(11x - 10)(11x + 10)
Factor: 169x² - 4,(13x - 2)(13x + 2)
Factor: 196x² - 9,(14x - 3)(14x + 3)
Factor by grouping: 3x² - 6x - 5x + 10,(3x - 5)(x - 2)
Factor by grouping: 2x² - 8x - 3x + 12,(2x - 3)(x - 4)
Factor by grouping: 5x² - 15x - 2x + 6,(5x - 2)(x - 3)
Factor by grouping: 4x² - 12x - 3x + 9,(4x - 3)(x - 3)
Factor by grouping: 3x² - 9x - 4x + 12,(3x - 4)(x - 3)
Factor by grouping: 6x² - 18x - x + 3,(6x - 1)(x - 3)
Factor by grouping: 2x² - 14x - 3x + 21,(2x - 3)(x - 7)
Factor by grouping: 7x² - 21x - 2x + 6,(7x - 2)(x - 3)
Factor by grouping: 4x² - 8x - 5x + 10,(4x - 5)(x - 2)
Factor by grouping: 5x² - 25x - 3x + 15,(5x - 3)(x - 5)
Factor by grouping: 3x² + 6x - 7x - 14,(3x - 7)(x + 2)
Factor by grouping: 2x² + 10x - 3x - 15,(2x - 3)(x + 5)
Factor by grouping: 4x² + 8x - 5x - 10,(4x - 5)(x + 2)
Factor by grouping: 5x² + 15x - 4x - 12,(5x - 4)(x + 3)
Factor by grouping: 6x² + 12x - 5x - 10,(6x - 5)(x + 2)
Factor by grouping: 3x² + 21x - 2x - 14,(3x - 2)(x + 7)
Factor by grouping: 7x² + 14x - 3x - 6,(7x - 3)(x + 2)
Factor by grouping: 2x² + 8x - 5x - 20,(2x - 5)(x + 4)
Factor by grouping: 4x² + 16x - 3x - 12,(4x - 3)(x + 4)
Factor by grouping: 5x² + 10x - 7x - 14,(5x - 7)(x + 2)
Factor by grouping: 6x² - 6x + 5x - 5,(6x + 5)(x - 1)
Factor by grouping: 8x² - 16x + 3x - 6,(8x + 3)(x - 2)
Factor by grouping: 3x² - 12x + 5x - 20,(3x + 5)(x - 4)
Factor by grouping: 7x² - 7x + 4x - 4,(7x + 4)(x - 1)
Factor by grouping: 9x² - 27x + 2x - 6,(9x + 2)(x - 3)
Factor by grouping: 4x² - 20x + 7x - 35,(4x + 7)(x - 5)
Factor by grouping: 6x² + 18x + 5x + 15,(6x + 5)(x + 3)
Factor by grouping: 8x² + 24x + 3x + 9,(8x + 3)(x + 3)
Factor by grouping: 9x² + 18x + 4x + 8,(9x + 4)(x + 2)
Factor by grouping: 10x² + 20x + 3x + 6,(10x + 3)(x + 2)
Factor by grouping: 7x² + 35x + 2x + 10,(7x + 2)(x + 5)
Factor by grouping: 8x² + 8x + 5x + 5,(8x + 5)(x + 1)
Factor by grouping: 6x² - 24x - x + 4,(6x - 1)(x - 4)
Factor by grouping: 9x² - 36x - 2x + 8,(9x - 2)(x - 4)
Factor by grouping: 10x² - 30x - 3x + 9,(10x - 3)(x - 3)
Factor by grouping: 8x² - 40x - x + 5,(8x - 1)(x - 5)
Factor by grouping: 5x² + 20x - 6x - 24,(5x - 6)(x + 4)
Factor by grouping: 7x² + 28x - 3x - 12,(7x - 3)(x + 4)
Factor by grouping: 9x² + 9x - 5x - 5,(9x - 5)(x + 1)
Factor by grouping: 10x² + 50x - x - 5,(10x - 1)(x + 5)
Factor by grouping: 6x² - 30x + 7x - 35,(6x + 7)(x - 5)
Factor by grouping: 8x² - 24x + 5x - 15,(8x + 5)(x - 3)
Factor by grouping: 11x² + 22x + 3x + 6,(11x + 3)(x + 2)
Factor by grouping: 12x² + 36x + x + 3,(12x + 1)(x + 3)
Factor by grouping: 4x² - 4x - 9x + 9,(4x - 9)(x - 1)
Factor by grouping: 6x² - 12x - 7x + 14,(6x - 7)(x - 2)
Factor by grouping: 8x² + 16x - 7x - 14,(8x - 7)(x + 2)
Factor by grouping: 10x² - 10x + 7x - 7,(10x + 7)(x - 1)
Factor by grouping: 9x² + 27x - 4x - 12,(9x - 4)(x + 3)
Factor by grouping: 11x² - 33x + 2x - 6,(11x + 2)(x - 3)
Factor by grouping: 12x² + 24x - x - 2,(12x - 1)(x + 2)